timestamp,mouse_x[mm],mouse_y[mm]
2025-06-06 16:32:45.604,0.00,0.00
2025-06-06 16:32:46.754,0.00,0.00
2025-06-06 16:32:46.865,0.00,0.00
2025-06-06 16:32:47.459,0.00,0.00
2025-06-06 16:32:47.569,0.00,0.00
2025-06-06 16:32:47.665,0.00,0.00
2025-06-06 16:32:47.799,0.00,0.00
2025-06-06 16:32:47.900,0.00,0.00
2025-06-06 16:32:48.031,0.00,0.00
2025-06-06 16:32:48.132,0.00,0.00
2025-06-06 16:32:48.232,0.00,0.00
2025-06-06 16:32:48.365,0.00,0.00
2025-06-06 16:32:48.466,0.00,0.00
2025-06-06 16:32:48.599,0.00,0.00
2025-06-06 16:32:48.731,0.00,0.00
2025-06-06 16:32:48.866,0.00,0.00
2025-06-06 16:32:48.965,0.00,0.00
2025-06-06 16:32:49.098,0.00,0.00
2025-06-06 16:32:49.198,0.00,0.00
2025-06-06 16:32:49.332,0.00,0.00
2025-06-06 16:32:49.432,0.00,0.00
2025-06-06 16:32:49.532,0.00,0.00
2025-06-06 16:32:49.664,0.00,0.00
2025-06-06 16:32:49.764,0.00,0.00
2025-06-06 16:32:49.865,0.00,0.00
2025-06-06 16:32:49.969,0.00,0.00
2025-06-06 16:32:50.333,0.00,0.00
2025-06-06 16:32:50.526,0.00,0.00
2025-06-06 16:32:50.640,0.00,0.00
2025-06-06 16:32:50.759,0.00,0.00
2025-06-06 16:32:50.907,0.00,0.00
2025-06-06 16:32:51.036,0.00,0.00
2025-06-06 16:32:51.139,0.00,0.00
2025-06-06 16:32:51.255,0.00,0.00
2025-06-06 16:32:51.409,0.00,0.00
2025-06-06 16:32:51.548,0.00,0.00
2025-06-06 16:32:51.708,0.00,0.00
2025-06-06 16:32:51.827,0.00,0.00
2025-06-06 16:32:51.957,0.00,0.00
2025-06-06 16:32:52.095,0.00,0.00
2025-06-06 16:32:52.212,0.00,0.00
2025-06-06 16:32:52.331,0.00,0.00
2025-06-06 16:32:52.431,0.00,0.00
2025-06-06 16:32:52.540,0.00,0.00
2025-06-06 16:32:52.664,0.00,0.00
2025-06-06 16:32:52.797,0.00,0.00
2025-06-06 16:32:52.931,0.00,0.00
2025-06-06 16:32:53.031,0.00,0.00
2025-06-06 16:32:53.164,0.00,0.00
2025-06-06 16:32:53.298,0.00,0.00
2025-06-06 16:32:53.434,-0.33,0.29
2025-06-06 16:32:53.533,-2.39,4.40
2025-06-06 16:32:53.636,-1.79,12.09
2025-06-06 16:32:53.767,-0.02,20.64
2025-06-06 16:32:53.867,0.29,20.95
2025-06-06 16:32:53.970,1.96,21.12
2025-06-06 16:32:54.071,7.36,24.68
2025-06-06 16:32:54.171,8.27,26.30
2025-06-06 16:32:54.273,-1.91,25.30
2025-06-06 16:32:54.374,-9.58,27.64
2025-06-06 16:32:54.475,-18.27,42.02
2025-06-06 16:32:54.574,-18.61,54.52
2025-06-06 16:32:54.710,-17.22,62.32
2025-06-06 16:32:54.842,-19.38,66.98
2025-06-06 16:32:54.942,-19.81,77.23
2025-06-06 16:32:55.042,-16.03,93.40
2025-06-06 16:32:55.144,-17.30,97.90
2025-06-06 16:32:55.245,-21.55,97.25
2025-06-06 16:32:55.347,-24.82,96.56
2025-06-06 16:32:55.449,-25.04,94.12
2025-06-06 16:32:55.549,-21.55,93.48
2025-06-06 16:32:55.650,-17.22,93.69
2025-06-06 16:32:55.751,-17.48,92.60
2025-06-06 16:32:55.860,-19.13,91.49
2025-06-06 16:32:55.953,-17.96,91.38
2025-06-06 16:32:56.056,-16.75,91.30
2025-06-06 16:32:56.187,-15.27,93.36
2025-06-06 16:32:56.289,-11.80,95.41
2025-06-06 16:32:56.391,-7.48,100.62
2025-06-06 16:32:56.491,-2.34,108.72
2025-06-06 16:32:56.593,3.42,112.88
2025-06-06 16:32:56.694,8.74,116.41
2025-06-06 16:32:56.797,12.28,122.67
2025-06-06 16:32:56.929,21.07,135.14
2025-06-06 16:32:57.032,28.64,146.68
2025-06-06 16:32:57.134,34.11,154.97
2025-06-06 16:32:57.234,38.94,160.10
2025-06-06 16:32:57.336,44.50,166.12
2025-06-06 16:32:57.437,45.39,167.10
2025-06-06 16:32:57.539,46.99,167.37
2025-06-06 16:32:57.639,55.56,168.51
2025-06-06 16:32:57.771,70.07,181.15
2025-06-06 16:32:57.905,75.80,184.61
2025-06-06 16:32:58.038,75.80,184.62
2025-06-06 16:32:58.138,75.80,184.62
2025-06-06 16:32:58.271,75.80,184.62
2025-06-06 16:32:58.371,75.80,184.62
2025-06-06 16:32:58.505,75.80,184.62
2025-06-06 16:32:58.638,75.80,184.62
2025-06-06 16:32:58.771,75.80,184.62
2025-06-06 16:32:58.871,75.80,184.62
2025-06-06 16:32:58.970,75.80,184.62
2025-06-06 16:32:59.104,75.80,184.62
2025-06-06 16:32:59.238,75.80,184.62
2025-06-06 16:32:59.370,75.80,184.62
2025-06-06 16:32:59.472,75.80,184.62
2025-06-06 16:32:59.571,75.80,184.62
2025-06-06 16:32:59.703,75.80,184.62
2025-06-06 16:32:59.837,75.80,184.62
2025-06-06 16:32:59.971,75.80,184.62
2025-06-06 16:33:00.104,75.80,184.62
2025-06-06 16:33:00.237,75.80,184.62
2025-06-06 16:33:00.371,75.80,184.62
2025-06-06 16:33:00.470,75.80,184.62
2025-06-06 16:33:00.605,75.80,184.62
2025-06-06 16:33:00.711,75.80,184.62
2025-06-06 16:33:00.841,75.80,184.62
2025-06-06 16:33:00.972,75.80,184.62
2025-06-06 16:33:01.105,75.80,184.62
2025-06-06 16:33:01.207,75.80,184.62
2025-06-06 16:33:01.336,75.80,184.62
2025-06-06 16:33:01.469,75.80,184.62
2025-06-06 16:33:01.578,75.80,184.62
2025-06-06 16:33:01.704,75.80,184.62
2025-06-06 16:33:01.837,75.80,184.62
2025-06-06 16:33:01.971,75.80,184.62
